カテゴリ,施設名,住所,緯度,経度,リンク
"幼稚園","認定こども園 つつみ幼稚園","
〒300-1501 茨城県取手市双葉３丁目７−１","35.9392721","140.1213964","https://www.google.com/maps/place/%E8%AA%8D%E5%AE%9A%E3%81%93%E3%81%A9%E3%82%82%E5%9C%92+%E3%81%A4%E3%81%A4%E3%81%BF%E5%B9%BC%E7%A8%9A%E5%9C%92/data=!4m7!3m6!1s0x6022712020e679db:0x79cc8e76aab9ee9b!8m2!3d35.9392721!4d140.1213964!16s%2Fg%2F1tkv9wn7!19sChIJ23nmICBxImARm-65qnaOzHk?authuser=0&hl=ja&rclk=1"
"幼稚園","認定こども園 神立幼稚園","
〒315-0054 茨城県かすみがうら市稲吉２丁目１８−８","36.1232571","140.2475878","https://www.google.com/maps/place/%E8%AA%8D%E5%AE%9A%E3%81%93%E3%81%A9%E3%82%82%E5%9C%92+%E7%A5%9E%E7%AB%8B%E5%B9%BC%E7%A8%9A%E5%9C%92/data=!4m7!3m6!1s0x6022136cff9968c3:0x4ab5495b0a64198c!8m2!3d36.1232571!4d140.2475878!16s%2Fg%2F1x5fbgkm!19sChIJw2iZ_2wTImARjBlkCltJtUo?authuser=0&hl=ja&rclk=1"
"幼稚園","あさひ幼稚園","
〒310-0826 茨城県水戸市渋井町２５４","36.3594635","140.5106665","https://www.google.com/maps/place/%E3%81%82%E3%81%95%E3%81%B2%E5%B9%BC%E7%A8%9A%E5%9C%92/data=!4m7!3m6!1s0x60222559b3e41047:0xa2d1b89e61df7003!8m2!3d36.3594635!4d140.5106665!16s%2Fg%2F1td2zkq3!19sChIJRxDks1klImARA3DfYZ640aI?authuser=0&hl=ja&rclk=1"
"幼稚園","あおば台幼稚園","
〒300-0837 茨城県土浦市右籾２７５５","36.0446205","140.1867795","https://www.google.com/maps/place/%E3%81%82%E3%81%8A%E3%81%B0%E5%8F%B0%E5%B9%BC%E7%A8%9A%E5%9C%92/data=!4m7!3m6!1s0x60226d7cf17a674f:0x52802314fcb1f477!8m2!3d36.0446205!4d140.1867795!16s%2Fg%2F1tfj38c0!19sChIJT2d68XxtImARd_Sx_BQjgFI?authuser=0&hl=ja&rclk=1"
"幼稚園","ルンビニー学園幼稚園","
〒311-3436 茨城県小美玉市上玉里１１３７−５","36.1612214","140.3347702","https://www.google.com/maps/place/%E3%83%AB%E3%83%B3%E3%83%93%E3%83%8B%E3%83%BC%E5%AD%A6%E5%9C%92%E5%B9%BC%E7%A8%9A%E5%9C%92/data=!4m7!3m6!1s0x60221571c84fa811:0x9a3501a219b797eb!8m2!3d36.1612214!4d140.3347702!16s%2Fg%2F1tkrlxrf!19sChIJEahPyHEVImAR65e3GaIBNZo?authuser=0&hl=ja&rclk=1"
"幼稚園","みずき野幼稚園","
〒302-0121 茨城県守谷市みずき野５丁目２−１","35.9363589","140.0127098","https://www.google.com/maps/place/%E3%81%BF%E3%81%9A%E3%81%8D%E9%87%8E%E5%B9%BC%E7%A8%9A%E5%9C%92/data=!4m7!3m6!1s0x60189e041bc5b6a5:0xddfee5f943a9c738!8m2!3d35.9363589!4d140.0127098!16s%2Fg%2F1tczdxs2!19sChIJpbbFGwSeGGAROMepQ_nl_t0?authuser=0&hl=ja&rclk=1"
"幼稚園","土浦聖母幼稚園","
〒300-0038 茨城県土浦市大町９−６","36.0797735","140.1931623","https://www.google.com/maps/place/%E5%9C%9F%E6%B5%A6%E8%81%96%E6%AF%8D%E5%B9%BC%E7%A8%9A%E5%9C%92/data=!4m7!3m6!1s0x602212ad8da847fd:0x826ac3662c544ea5!8m2!3d36.0797735!4d140.1931623!16s%2Fg%2F1v29c3ln!19sChIJ_Ueoja0SImARpU5ULGbDaoI?authuser=0&hl=ja&rclk=1"
"幼稚園","ともべ幼稚園","
〒309-1705 茨城県笠間市東平２丁目１１−７","36.3486236","140.3104397","https://www.google.com/maps/place/%E3%81%A8%E3%82%82%E3%81%B9%E5%B9%BC%E7%A8%9A%E5%9C%92/data=!4m7!3m6!1s0x60221f29725ea8e5:0xaeb1d07165c099cd!8m2!3d36.3486236!4d140.3104397!16s%2Fg%2F1v8316gq!19sChIJ5ahecikfImARzZnAZXHQsa4?authuser=0&hl=ja&rclk=1"
"幼稚園","少友幼稚園","
〒310-0024 茨城県水戸市備前町５−３６","36.3770029","140.4644073","https://www.google.com/maps/place/%E5%B0%91%E5%8F%8B%E5%B9%BC%E7%A8%9A%E5%9C%92/data=!4m7!3m6!1s0x6022244fd2af45b9:0x608e06a428341749!8m2!3d36.3770029!4d140.4644073!16s%2Fg%2F1ptwlvwcf!19sChIJuUWv0k8kImARSRc0KKQGjmA?authuser=0&hl=ja&rclk=1"
"幼稚園","めばえ幼稚園","
〒301-0018 茨城県龍ケ崎市米町８３６２","35.90165","140.173602","https://www.google.com/maps/place/%E3%82%81%E3%81%B0%E3%81%88%E5%B9%BC%E7%A8%9A%E5%9C%92/data=!4m7!3m6!1s0x60227ac864d568bb:0x8a03d3842971e58f!8m2!3d35.90165!4d140.173602!16s%2Fg%2F1tfbs_jh!19sChIJu2jVZMh6ImARj-VxKYTTA4o?authuser=0&hl=ja&rclk=1"
"幼稚園","杉の子幼稚園","
〒319-1541 茨城県北茨城市磯原町磯原８２６−４ ８２６−４","36.7917064","140.7467531","https://www.google.com/maps/place/%E6%9D%89%E3%81%AE%E5%AD%90%E5%B9%BC%E7%A8%9A%E5%9C%92/data=!4m7!3m6!1s0x602176bed4e45df7:0x20a2bafa0a2469a4!8m2!3d36.7917064!4d140.7467531!16s%2Fg%2F1tnss0gm!19sChIJ913k1L52IWARpGkkCvq6oiA?authuser=0&hl=ja&rclk=1"
