カテゴリ,施設名,住所,緯度,経度,リンク
"こども園","開志新潟東こども園（愛宕福祉会）","
〒950-0841 新潟県新潟市東区中野山３丁目３−９ 五十嵐ハイツＡ","37.9051077","139.1033285","https://www.google.com/maps/place/%E9%96%8B%E5%BF%97%E6%96%B0%E6%BD%9F%E6%9D%B1%E3%81%93%E3%81%A9%E3%82%82%E5%9C%92%EF%BC%88%E6%84%9B%E5%AE%95%E7%A6%8F%E7%A5%89%E4%BC%9A%EF%BC%89/data=!4m7!3m6!1s0x5ff4cbaf9be64541:0x64826e5e7516bbad!8m2!3d37.9051077!4d139.1033285!16s%2Fg%2F11q4302z1m!19sChIJQUXmm6_L9F8RrbsWdV5ugmQ?authuser=0&hl=ja&rclk=1"
"こども園","松の実こども園","
〒950-2063 新潟県新潟市西区寺尾台３丁目１９−１３","37.8814143","138.9705162","https://www.google.com/maps/place/%E6%9D%BE%E3%81%AE%E5%AE%9F%E3%81%93%E3%81%A9%E3%82%82%E5%9C%92/data=!4m7!3m6!1s0x5ff4c7c309b35d3f:0xe101c6c062e979f!8m2!3d37.8814143!4d138.9705162!16s%2Fg%2F1tf81fjt!19sChIJP12zCcPH9F8Rn5cuBmwcEA4?authuser=0&hl=ja&rclk=1"
"こども園","ここの実こども園","
〒950-0963 新潟県新潟市中央区南出来島１丁目４−７","37.8956853","139.0291933","https://www.google.com/maps/place/%E3%81%93%E3%81%93%E3%81%AE%E5%AE%9F%E3%81%93%E3%81%A9%E3%82%82%E5%9C%92/data=!4m7!3m6!1s0x5ff4c8515a980289:0x6d586139ea57f97!8m2!3d37.8956853!4d139.0291933!16s%2Fg%2F11b5pjss0w!19sChIJiQKYWlHI9F8Rl3-lnhOG1QY?authuser=0&hl=ja&rclk=1"
"こども園","中之口こども園","
〒950-1343 新潟県新潟市西蒲区三ツ門５９−２ 市立なかのくち保育園","37.721596","138.967052","https://www.google.com/maps/place/%E4%B8%AD%E4%B9%8B%E5%8F%A3%E3%81%93%E3%81%A9%E3%82%82%E5%9C%92/data=!4m7!3m6!1s0x5ff4e79c6d82e227:0x2d121c9cffa3576e!8m2!3d37.721596!4d138.967052!16s%2Fg%2F1x5qsmm1!19sChIJJ-KCbZzn9F8Rblej_5wcEi0?authuser=0&hl=ja&rclk=1"
"こども園","松の実第二こども園","
〒950-2045 新潟県新潟市西区五十嵐東３丁目１１−１８ 愛らんど子育て支援センター","37.8781461","138.9559086","https://www.google.com/maps/place/%E6%9D%BE%E3%81%AE%E5%AE%9F%E7%AC%AC%E4%BA%8C%E3%81%93%E3%81%A9%E3%82%82%E5%9C%92/data=!4m7!3m6!1s0x5ff4c7be18a9ff6d:0x5a27303b23a97df3!8m2!3d37.8781461!4d138.9559086!16s%2Fg%2F1v6p8pr_!19sChIJbf-pGL7H9F8R832pIzswJ1o?authuser=0&hl=ja&rclk=1"
"こども園","紫竹山こども園","
〒950-0914 新潟県新潟市中央区紫竹山２丁目３−５","37.9024818","139.0683287","https://www.google.com/maps/place/%E7%B4%AB%E7%AB%B9%E5%B1%B1%E3%81%93%E3%81%A9%E3%82%82%E5%9C%92/data=!4m7!3m6!1s0x5ff4c973808b2995:0x2377338ec55fe34d!8m2!3d37.9024818!4d139.0683287!16s%2Fg%2F1tdyfgqq!19sChIJlSmLgHPJ9F8RTeNfxY4zdyM?authuser=0&hl=ja&rclk=1"
"こども園","開志上所こども園（愛宕福祉会）","
〒950-0993 新潟県新潟市中央区上所中１丁目１１−２２","37.9059428","139.0346406","https://www.google.com/maps/place/%E9%96%8B%E5%BF%97%E4%B8%8A%E6%89%80%E3%81%93%E3%81%A9%E3%82%82%E5%9C%92%EF%BC%88%E6%84%9B%E5%AE%95%E7%A6%8F%E7%A5%89%E4%BC%9A%EF%BC%89/data=!4m7!3m6!1s0x5ff4c9393a61cb99:0x8a9de112b60df6c1!8m2!3d37.9059428!4d139.0346406!16s%2Fg%2F11h0k1g1jr!19sChIJmcthOjnJ9F8RwfYNthLhnYo?authuser=0&hl=ja&rclk=1"
"こども園","小鳥の森こども園","
〒950-3322 新潟県新潟市北区嘉山５３３ 533番地","37.9043408","139.2213054","https://www.google.com/maps/place/%E5%B0%8F%E9%B3%A5%E3%81%AE%E6%A3%AE%E3%81%93%E3%81%A9%E3%82%82%E5%9C%92/data=!4m7!3m6!1s0x5ff4ccda7a70f999:0xca1cf387d505233a!8m2!3d37.9043408!4d139.2213054!16s%2Fg%2F11btww97tf!19sChIJmflwetrM9F8ROiMF1YfzHMo?authuser=0&hl=ja&rclk=1"
"こども園","勝楽寺こども園","
〒951-8061 新潟県新潟市中央区西堀通１５８８","37.926738","139.0438925","https://www.google.com/maps/place/%E5%8B%9D%E6%A5%BD%E5%AF%BA%E3%81%93%E3%81%A9%E3%82%82%E5%9C%92/data=!4m7!3m6!1s0x5ff4c9fa4d7c683f:0x52affb011ba2c125!8m2!3d37.926738!4d139.0438925!16s%2Fg%2F1tfwk5y0!19sChIJP2h8TfrJ9F8RJcGiGwH7r1I?authuser=0&hl=ja&rclk=1"
"こども園","東小針認定こども園","
〒950-2022 新潟県新潟市西区小針１丁目３３−１２ 新潟市社会事業協会東小針保育園","37.8890553","139.0004449","https://www.google.com/maps/place/%E6%9D%B1%E5%B0%8F%E9%87%9D%E8%AA%8D%E5%AE%9A%E3%81%93%E3%81%A9%E3%82%82%E5%9C%92/data=!4m7!3m6!1s0x5ff4c86fbd7a7119:0xfcfaa030d5e5829f!8m2!3d37.8890553!4d139.0004449!16s%2Fg%2F1v29bw1f!19sChIJGXF6vW_I9F8Rn4Ll1TCg-vw?authuser=0&hl=ja&rclk=1"
